Fortune  Rank (2018),Company Name,Ticker Symbol,Fortune Rank (2017),Revenues,Revenues change,Profits,Profit Change,Assets,Market Value,Employee Count,CEO Name,CEO Title,Sector,Industry,HQ Location,Website URL,Years on Fortune List,Fortune URL
101,Capital One Financial,COF,100,"$29,999",9.0%,"$1,982.0",-47.2%,"$365,693","$46,584","49,300",Richard D. Fairbank,"Chairman, President & Chief Executive Officer",Financials,Commercial Banks,"McLean, Va.",http://www.capitalone.com,19,http://fortune.com/fortune500/capital-one-financial/
102,Deere,DE,105,"$29,738",11.6%,"$2,159.1",41.7%,"$65,786","$50,291","60,476",Samuel R. Allen,"Chairman, President & Chief Executive Officer",Industrials,Construction and Farm Machinery,"Moline, Ill.",http://www.johndeere.com,24,http://fortune.com/fortune500/deere/
103,INTL FCStone,INTL,189,"$29,424",99.4%,$6.4,-88.3%,"$6,243",$804,"1,607",Sean M. O'Connor,"President, Chief Executive Officer & Director",Financials,Diversified Financials,New York City,http://www.intlfcstone.com,10,http://fortune.com/fortune500/intl-fcstone/
104,Northwestern Mutual,,97,"$29,331",1.8%,"$1,017.0",24.3%,"$265,049",,"5,437",John E. Schlifske,Chairman & Chief Executive Officer,Financials,"Insurance: Life, Health (Mutual)",Milwaukee,http://www.northwesternmutual.com,24,http://fortune.com/fortune500/northwestern-mutual/
105,Enterprise Products Partners,EPD,122,"$29,242",27.0%,"$2,799.3",11.4%,"$54,418","$52,904","7,000",A. James Teague,Chairman & Chief Executive Officer,Energy,Pipelines,Houston,http://www.enterpriseproducts.com,13,http://fortune.com/fortune500/enterprise-products-partners/
106,Travelers Cos.,TRV,99,"$28,902",4.6%,"$2,056.0",-31.8%,"$103,483","$37,691","30,800",Alan D. Schnitzer,Chairman & Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),New York City,http://www.travelers.com,24,http://fortune.com/fortune500/travelers-cos/
107,Hewlett Packard Enterprise,HPE,59,"$28,871",-42.4%,$344.0,-89.1%,"$61,406","$27,243","66,000",Antonio Neri,"President, Chief Executive Officer & Director",Technology,"Computers, Office Equipment","Palo Alto, Calif.",http://www.hpe.com,2,http://fortune.com/fortune500/hewlett-packard-enterprise/
108,Philip Morris International,PM,104,"$28,748",7.7%,"$6,035.0",-13.4%,"$42,968","$154,514","80,600",Andre Calantzopoulos,Chairman & Chief Executive Officer,"Food, Beverages & Tobacco",Tobacco,New York City,http://www.pmi.com,10,http://fortune.com/fortune500/philip-morris-international/
109,Twenty-First Century Fox,FOXA,101,"$28,500",4.3%,"$2,952.0",7.2%,"$50,724","$67,969","21,700",James R. Murdoch,Chief Executive Officer & Director,Media,Entertainment,New York City,http://www.21cf.com,14,http://fortune.com/fortune500/twenty-first-century-fox/
110,AbbVie,ABBV,111,"$28,216",10.1%,"$5,309.0",-10.8%,"$70,786","$150,180","29,000",Richard A. Gonzalez,Chairman & Chief Executive Officer,Health Care,Pharmaceuticals,"North Chicago, Ill.",http://www.abbvie.com,5,http://fortune.com/fortune500/abbvie/
111,Abbott Laboratories,ABT,135,"$27,390",31.3%,$477.0,-65.9%,"$76,250","$104,640","99,000",Miles D. White,Chairman & Chief Executive Officer,Health Care,Medical Products and Equipment,"Abbott Park, Ill.",http://www.abbott.com,24,http://fortune.com/fortune500/abbott-laboratories/
112,Progressive,PGR,120,"$26,839",14.5%,"$1,592.2",54.4%,"$38,701","$35,478","33,656",Susan Patricia Griffith,"President, Chief Executive Officer & Director",Financials,Insurance: Property and Casualty (Stock),"Mayfield Village, Ohio",http://www.progressive.com,24,http://fortune.com/fortune500/progressive/
113,Arrow Electronics,ARW,118,"$26,813",12.5%,$402.0,-23.1%,"$16,463","$6,750","18,800",Michael J. Long,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Electronics and Office Equipment,"Centennial, Colo.",http://www.arrow.com,24,http://fortune.com/fortune500/arrow-electronics/
114,Kraft Heinz,KHC,106,"$26,232",-1.0%,"$10,999.0",202.8%,"$120,232","$75,920","39,000",Bernardo Hees,Chief Executive Officer,"Food, Beverages & Tobacco",Food Consumer Products,Pittsburgh,http://www.kraftheinzcompany.com,24,http://fortune.com/fortune500/kraft-heinz/
115,Plains GP Holdings,PAGP,141,"$26,223",29.9%,$-731.0,-877.7%,"$26,753","$6,328","4,850",Greg L. Armstrong,Chairman & Chief Executive Officer,Energy,Pipelines,Houston,http://www.plainsallamerican.com,5,http://fortune.com/fortune500/plains-gp-holdings/
116,Gilead Sciences,GILD,92,"$26,107",-14.1%,"$4,628.0",-65.7%,"$70,283","$98,298","10,000",John F. Milligan IV,"President, Chief Executive Officer & Director",Health Care,Pharmaceuticals,"Foster City, Calif.",http://www.gilead.com,10,http://fortune.com/fortune500/gilead-sciences/
117,Mondelez International,MDLZ,109,"$25,896",-0.1%,"$2,922.0",76.1%,"$63,109","$62,066","83,000",Dirk Van de Put,Chairman & Chief Executive Officer,"Food, Beverages & Tobacco",Food Consumer Products,"Deerfield, Ill.",http://www.mondelezinternational.com,11,http://fortune.com/fortune500/mondelez-international/
118,Northrop Grumman,NOC,114,"$25,803",5.3%,"$2,015.0",-8.4%,"$34,917","$60,778","70,000",Wesley G. Bush,Chairman & Chief Executive Officer,Aerospace & Defense,Aerospace and Defense,"Falls Church, Va.",http://www.northropgrumman.com,24,http://fortune.com/fortune500/northrop-grumman/
119,Raytheon,RTN,116,"$25,348",5.3%,"$2,024.0",-8.5%,"$30,860","$62,265","64,000",Thomas A. Kennedy,Chairman & Chief Executive Officer,Aerospace & Defense,Aerospace and Defense,"Waltham, Mass.",http://www.raytheon.com,24,http://fortune.com/fortune500/raytheon/
120,Macy’s,M,110,"$24,837",-3.7%,"$1,547.0",149.9%,"$19,381","$9,065","130,000",Jeffrey Gennette,Chairman & Chief Executive Officer,Retailing,General Merchandisers,Cincinnati,http://www.macysinc.com,24,http://fortune.com/fortune500/macys/
121,US Foods Holding,USFD,124,"$24,147",5.4%,$444.3,111.8%,"$9,037","$7,065","25,204",Pietro Satriano,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Food and Grocery,"Rosemont, Ill.",http://www.usfoods.com,7,http://fortune.com/fortune500/us-foods-holding/
122,U.S. Bancorp,USB,125,"$23,996",5.5%,"$6,218.0",5.6%,"$462,040","$83,367","72,402",Andrew J. Cecere,"President, Chief Executive Officer & Director",Financials,Commercial Banks,Minneapolis,http://www.usbank.com,20,http://fortune.com/fortune500/u-s-bancorp/
123,Dollar General,DG,128,"$23,471",6.8%,"$1,539.0",23.0%,"$12,517","$25,141","129,000",Todd J. Vasos,Chairman & Chief Executive Officer,Retailing,Specialty Retailers: Other,"Goodlettsville, Tenn.",http://www.dollargeneral.com,20,http://fortune.com/fortune500/dollar-general/
124,International Paper,IP,133,"$23,302",10.5%,"$2,144.0",137.2%,"$33,903","$22,063","56,000",Mark S. Sutton,Chairman & Chief Executive Officer,Materials,"Packaging, Containers",Memphis,http://www.internationalpaper.com,24,http://fortune.com/fortune500/international-paper/
125,Duke Energy,DUK,121,"$23,189",-0.8%,"$3,059.0",42.1%,"$137,914","$54,276","29,060",Lynn J. Good,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,"Charlotte, N.C.",http://www.duke-energy.com,24,http://fortune.com/fortune500/duke-energy/
126,Southern,SO,145,"$23,031",15.8%,$842.0,-65.6%,"$111,005","$45,024","31,344",Thomas A. Fanning,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,Atlanta,http://www.southerncompany.com,24,http://fortune.com/fortune500/southern/
127,Marriott International,MAR,163,"$22,894",34.1%,"$1,372.0",75.9%,"$23,948","$48,531","177,000",Arne M. Sorenson,"President, Chief Executive Officer & Director","Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","Bethesda, Md.",http://www.marriott.com,20,http://fortune.com/fortune500/marriott-international/
128,Avnet,AVT,108,"$22,872",-12.8%,$525.3,3.7%,"$9,700","$5,009","15,700",William J. Amelio,Chief Executive Officer & Director,Wholesalers,Wholesalers: Electronics and Office Equipment,Phoenix,http://www.avnet.com,24,http://fortune.com/fortune500/avnet/
129,Eli Lilly,LLY,132,"$22,871",7.8%,$-204.1,-107.5%,"$44,981","$84,542","40,655",David A. Ricks,"Chairman, President & Chief Executive Officer",Health Care,Pharmaceuticals,Indianapolis,http://www.lilly.com,24,http://fortune.com/fortune500/eli-lilly/
130,Amgen,AMGN,123,"$22,849",-0.6%,"$1,979.0",-74.4%,"$79,954","$122,842","20,800",Robert A. Bradway,"Chairman, President & Chief Executive Officer",Health Care,Pharmaceuticals,"Thousand Oaks, Calif.",http://www.amgen.com,19,http://fortune.com/fortune500/amgen/
131,McDonald’s,MCD,112,"$22,820",-7.3%,"$5,192.3",10.8%,"$33,804","$124,244","235,000",Stephen J. Easterbrook,"President, Chief Executive Officer & Director","Hotels, Restaurants & Leisure",Food Services,"Oak Brook, Ill.",http://www.aboutmcdonalds.com,24,http://fortune.com/fortune500/mcdonalds/
132,Starbucks,SBUX,131,"$22,387",5.0%,"$2,884.7",2.4%,"$14,366","$81,370","277,000",Keven R. Johnson,"President, Chief Executive Officer & Director","Hotels, Restaurants & Leisure",Food Services,Seattle,http://www.starbucks.com,16,http://fortune.com/fortune500/starbucks/
133,Qualcomm,QCOM,119,"$22,291",-5.4%,"$2,466.0",-56.8%,"$65,486","$82,027","33,800",Steven M. Mollenkopf,Chairman & Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,San Diego,http://www.qualcomm.com,19,http://fortune.com/fortune500/qualcomm/
134,Dollar Tree,DLTR,136,"$22,246",7.4%,"$1,714.3",91.3%,"$16,333","$22,523","116,200",Gary M. Philbin,"President, Chief Executive Officer & Director",Retailing,Specialty Retailers: Other,"Chesapeake, Va.",http://www.dollartree.com,10,http://fortune.com/fortune500/dollar-tree/
135,PBF Energy,PBF,172,"$21,787",36.8%,$415.5,143.3%,"$8,118","$3,752","3,165",Thomas J. Nimbley,Chairman & Chief Executive Officer,Energy,Petroleum Refining,"Parsippany, N.J.",http://www.pbfenergy.com,6,http://fortune.com/fortune500/pbf-energy/
136,Icahn Enterprises,IEP,168,"$21,744",33.0%,"$2,430.0",,"$31,801","$9,901","89,034",Keith Cozza,"President, Chief Executive Officer & Director",Financials,Diversified Financials,New York City,http://www.ielp.com,10,http://fortune.com/fortune500/icahn-enterprises/
137,Aflac,AFL,126,"$21,667",-4.0%,"$4,604.0",73.1%,"$137,217","$34,038","11,318",Daniel P. Amos,"Chairman, President & Chief Executive Officer",Financials,"Insurance: Life, Health (stock)","Columbus, Ga.",http://www.aflac.com,24,http://fortune.com/fortune500/aflac/
138,AutoNation,AN,129,"$21,535",-0.3%,$434.6,1.0%,"$10,272","$4,296","26,000",Michael J. Jackson,"Chairman, President & Chief Executive Officer",Retailing,"Automotive Retailing, Services","Fort Lauderdale, Fla.",http://www.autonation.com,21,http://fortune.com/fortune500/autonation/
139,Penske Automotive Group,PAG,142,"$21,389",6.2%,$613.3,78.9%,"$10,541","$3,817","26,000",Roger S. Penske,Chairman & Chief Executive Officer,Retailing,"Automotive Retailing, Services","Bloomfield Hills, Mich.",http://www.penskeautomotive.com,20,http://fortune.com/fortune500/penske-automotive-group/
140,Whirlpool,WHR,137,"$21,253",2.6%,$350.0,-60.6%,"$20,038","$10,824","92,000",Marc R. Bitzer,"President, Chief Executive Officer & Director",Industrials,"Electronics, Electrical Equip.","Benton Harbor, Mich.",http://www.whirlpoolcorp.com,24,http://fortune.com/fortune500/whirlpool/
141,Union Pacific,UNP,143,"$21,240",6.5%,"$10,712.0",153.1%,"$57,806","$104,261","41,992",Lance M. Fritz,"Chairman, President & Chief Executive Officer",Transportation,Railroads,Omaha,http://www.up.com,24,http://fortune.com/fortune500/union-pacific/
142,Southwest Airlines,LUV,138,"$21,171",3.7%,"$3,488.0",55.4%,"$25,110","$33,678","56,110",Gary C. Kelly,Chairman & Chief Executive Officer,Transportation,Airlines,Dallas,http://www.southwest.com,24,http://fortune.com/fortune500/southwest-airlines/
143,ManpowerGroup,MAN,146,"$21,034",7.0%,$545.4,22.9%,"$8,884","$7,614","29,000",Jonas Prising,Chairman & Chief Executive Officer,Business Services,Temporary Help,Milwaukee,http://www.manpowergroup.com,24,http://fortune.com/fortune500/manpowergroup/
144,Thermo Fisher Scientific,TMO,154,"$20,918",14.5%,"$2,225.0",10.1%,"$56,669","$82,952","66,100",Marc N. Casper,"President, Chief Executive Officer & Director",Technology,"Scientific,Photographic and Control Equipment","Waltham, Mass.",http://www.thermofisher.com,16,http://fortune.com/fortune500/thermo-fisher-scientific/
145,Bristol-Myers Squibb,BMY,147,"$20,776",6.9%,"$1,007.0",-77.4%,"$33,551","$103,415","23,700",Giovanni Caforio,Chairman & Chief Executive Officer,Health Care,Pharmaceuticals,New York City,http://www.bms.com,24,http://fortune.com/fortune500/bristol-myers-squibb/
146,Halliburton,HAL,173,"$20,620",29.8%,$-463.0,,"$25,085","$41,068","55,000",Jeffrey A. Miller,"President, Chief Executive Officer & Director",Energy,"Oil and Gas Equipment, Services",Houston,http://www.halliburton.com,24,http://fortune.com/fortune500/halliburton/
147,Tenet Healthcare,THC,134,"$20,613",-2.2%,$-704.0,,"$23,385","$2,452","111,980",Ronald A. Rittenmeyer,Chairman & Chief Executive Officer,Health Care,Health Care: Medical Facilities,Dallas,http://www.tenethealth.com,24,http://fortune.com/fortune500/tenet-healthcare/
148,Lear,LEA,151,"$20,467",10.3%,"$1,313.4",34.7%,"$11,946","$12,453","165,000",Raymond E. Scott,"President, Chief Executive Officer & Director",Motor Vehicles & Parts,Motor Vehicles and Parts,"Southfield, Mich.",http://www.lear.com,24,http://fortune.com/fortune500/lear/
149,Cummins,CMI,159,"$20,428",16.7%,$999.0,-28.3%,"$18,075","$26,757","58,600",N. Thomas Linebarger,Chairman & Chief Executive Officer,Industrials,Industrial Machinery,"Columbus, Ind.",http://www.cummins.com,24,http://fortune.com/fortune500/cummins/
150,Micron Technology,MU,226,"$20,322",63.9%,"$5,089.0",,"$35,336","$60,470","34,100",Sanjay Mehrotra,"President, Chief Executive Officer & Director",Technology,Semiconductors and Other Electronic Components,"Boise, Idaho",http://www.micron.com,21,http://fortune.com/fortune500/micron-technology/
151,Nucor,NUE,169,"$20,252",25.0%,"$1,318.7",65.6%,"$15,841","$19,432","25,100",John J. Ferriola,"Chairman, President & Chief Executive Officer",Materials,Metals,"Charlotte, N.C.",http://www.nucor.com,24,http://fortune.com/fortune500/nucor/
152,Molina Healthcare,MOH,156,"$19,883",11.8%,$-512.0,"-1,084.6%","$8,471","$4,867","20,000",Joseph M. Zubretsky,"President, Chief Executive Officer & Director",Health Care,Health Care: Insurance and Managed Care,"Long Beach, Calif.",http://www.molinahealthcare.com,7,http://fortune.com/fortune500/molina-healthcare/
153,Fluor,FLR,149,"$19,521",2.5%,$191.4,-32.0%,"$9,328","$8,006","56,706",David T. Seaton,Chairman & Chief Executive Officer,Engineering & Construction,"Engineering, Construction","Irving, Texas",http://www.fluor.com,17,http://fortune.com/fortune500/fluor/
154,Altria Group,MO,148,"$19,494",0.8%,"$10,222.0",-28.2%,"$43,202","$118,436","8,300",Howard A. Willard III,Chairman & Chief Executive Officer,"Food, Beverages & Tobacco",Tobacco,"Richmond, Va.",http://www.altria.com,24,http://fortune.com/fortune500/altria-group/
155,Paccar,PCAR,164,"$19,456",14.2%,"$1,675.2",221.1%,"$23,440","$23,298","25,000",Ronald E. Armstrong,Chairman & Chief Executive Officer,Industrials,Construction and Farm Machinery,"Bellevue, Wash.",http://www.paccar.com,24,http://fortune.com/fortune500/paccar/
156,Hartford Financial Services,HIG,153,"$19,228",5.1%,"$-3,131.0",-449.4%,"$225,260","$18,392","16,400",Christopher J. Swift,Chairman & Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),"Hartford, Conn.",http://www.thehartford.com,23,http://fortune.com/fortune500/hartford-financial-services/
157,Kohl’s,KSS,150,"$19,095",2.2%,$859.0,54.5%,"$13,340","$11,021","85,000",Michelle D. Gass,Chairman & Chief Executive Officer,Retailing,General Merchandisers,"Menomonee Falls, Wis.",http://www.kohls.com,21,http://fortune.com/fortune500/kohls/
158,Western Digital,WDC,217,"$19,093",46.9%,$397.0,64.0%,"$29,860","$27,456","67,629",Stephen D. Milligan,Chairman & Chief Executive Officer,Technology,"Computers, Office Equipment","San Jose, Calif.",http://www.wdc.com,15,http://fortune.com/fortune500/western-digital/
159,Jabil,JBL,152,"$19,063",3.9%,$129.1,-49.2%,"$11,096","$5,035","170,000",Mark T. Mondello,Chairman & Chief Executive Officer,"
Technology",Semiconductors and Other Electronic Components,"St. Petersburg, Fla",www.jabil.com,17,http://fortune.com/fortune500/jabil/
160,Community Health Systems,CYH,130,"$18,477",-13.6%,"$-2,459.0",,"$17,450",$454,"86,000",Wayne T. Smith,Chairman & Chief Executive Officer,Health Care,Health Care: Medical Facilities,"Franklin, Tenn.",http://www.chs.net,12,http://fortune.com/fortune500/community-health-systems/
161,Visa,V,187,"$18,358",21.7%,"$6,699.0",11.8%,"$67,977","$270,222","15,000",Alfred F. Kelly Jr.,Chairman & Chief Executive Officer,Business Services,Financial Data Services,San Francisco,http://www.visa.com,10,http://fortune.com/fortune500/visa/
162,Danaher,DHR,144,"$18,330",-7.9%,"$2,492.1",-2.4%,"$46,649","$68,385","67,000",Thomas P. Joyce Jr.,"President, Chief Executive Officer & Director",Health Care,Medical Products and Equipment,Washington,http://www.danaher.com,20,http://fortune.com/fortune500/danaher/
163,Kimberly-Clark,KMB,155,"$18,259",0.3%,"$2,278.0",5.2%,"$15,151","$38,553","42,000",Thomas J. Falk,Chairman & Chief Executive Officer,Household Products,Household and Personal Products,"Irving, Texas",http://www.kimberly-clark.com,24,http://fortune.com/fortune500/kimberly-clark/
164,AECOM,ACM,161,"$18,203",4.6%,$339.4,253.1%,"$14,397","$5,671","87,000",Michael S. Burke,Chairman & Chief Executive Officer,Engineering & Construction,"Engineering, Construction",Los Angeles,http://www.aecom.com,10,http://fortune.com/fortune500/aecom/
165,PNC Financial Services,PNC,166,"$18,035",9.8%,"$5,338.0",36.8%,"$380,768","$71,323","51,632",William S. Demchak,"Chairman, President & Chief Executive Officer",Financials,Commercial Banks,Pittsburgh,http://www.pnc.com,24,http://fortune.com/fortune500/pnc-financial-services/
166,CenturyLink,CTL,160,"$17,656",1.1%,"$1,389.0",121.9%,"$75,611","$17,578","51,000",Jeffrey K. Storey,"President, Chief Executive Officer & Director",Telecommunications,Telecommunications,"Monroe, La.",http://www.centurylink.com,9,http://fortune.com/fortune500/centurylink/
167,NextEra Energy,NEE,170,"$17,195",6.4%,"$5,378.0",84.7%,"$97,827","$76,895","14,000",James L. Robo,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,"Juno Beach, Fla.",http://www.nexteraenergy.com,24,http://fortune.com/fortune500/nextera-energy/
168,PG&E Corp.,PCG,157,"$17,135",-3.0%,"$1,646.0",18.2%,"$68,012","$22,664","23,000",Geisha J. Williams,"President, Chief Executive Officer & Director",Energy,Utilities: Gas and Electric,San Francisco,http://www.pgecorp.com,24,http://fortune.com/fortune500/pge-corp/
169,Synnex,SNX,198,"$17,046",21.2%,$301.2,28.2%,"$7,699","$4,702","113,600",Dennis Polk,"President, Chief Executive Officer & Director",Wholesalers,Wholesalers: Electronics and Office Equipment,"Fremont, Calif.",http://www.synnex.com,12,http://fortune.com/fortune500/synnex/
170,WellCare Health Plans,WCG,195,"$17,007",19.5%,$373.7,54.4%,"$8,365","$8,622","8,900",Kenneth A. Burdick,Chairman & Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,Tampa,http://www.wellcare.com,10,http://fortune.com/fortune500/wellcare-health-plans/
171,Performance Food Group,PFGC,171,"$16,762",4.1%,$96.3,41.0%,"$3,804","$3,104","14,000",George L. Holm,"President, Chief Executive Officer & Director",Wholesalers,Wholesalers: Food and Grocery,"Richmond, Va.",http://www.pfgc.com,10,http://fortune.com/fortune500/performance-food-group/
172,Sears Holdings,SHLD,127,"$16,702",-24.6%,$-383.0,,"$7,262",$288,"89,000",Edward S. Lampert,Chairman & Chief Executive Officer,Retailing,General Merchandisers,"Hoffman Estates, Ill.",http://www.searsholdings.com,24,http://fortune.com/fortune500/sears-holdings/
173,Synchrony Financial,SYF,185,"$16,695",10.4%,"$1,935.0",-14.0%,"$95,808","$25,490","16,000",Margaret M. Keane,"President, Chief Executive Officer & Director",Financials,Diversified Financials,"Stamford, Conn.",http://www.synchronyfinancial.com,2,http://fortune.com/fortune500/synchrony-financial/
174,CarMax,KMX,174,"$16,637",5.1%,$627.0,0.6%,"$16,279","$11,202","24,344",William D. Nash,"President, Chief Executive Officer & Director",Retailing,"Automotive Retailing, Services","Richmond, Va.",http://www.carmax.com,15,http://fortune.com/fortune500/carmax/
175,Bank of New York Mellon,BK,177,"$16,621",6.0%,"$4,090.0",15.3%,"$371,758","$51,919","52,500",Charles W. Scharf,Chairman & Chief Executive Officer,Financials,Commercial Banks,New York City,www.bnymellon.com,24,http://fortune.com/fortune500/bank-of-new-york-mellon-corp/
176,Freeport-McMoRan,FCX,175,"$16,416",4.0%,"$1,817.0",,"$37,302","$25,439","25,200",Richard C. Adkerson,"Vice Chairman, President & Chief Executive Officer",Energy,"Mining, Crude-Oil Production",Phoenix,http://www.fcx.com,13,http://fortune.com/fortune500/freeport-mcmoran/
177,Genuine Parts,GPC,180,"$16,309",6.3%,$616.8,-10.3%,"$12,412","$13,183","48,000",Paul D. Donahue,"President, Chief Executive Officer & Director",Wholesalers,Wholesalers: Diversified,Atlanta,http://www.genpt.com,24,http://fortune.com/fortune500/genuine-parts/
178,Emerson Electric,EMR,139,"$16,301",-19.6%,"$1,518.0",-7.2%,"$19,589","$43,359","76,500",David N. Farr,Chairman & Chief Executive Officer,Industrials,Industrial Machinery,St. Louis,http://www.emerson.com,24,http://fortune.com/fortune500/emerson-electric/
179,DaVita,DVA,181,"$16,038",5.5%,$663.6,-24.6%,"$18,948","$12,001","74,500",Kent J. Thiry,Chairman & Chief Executive Officer,Health Care,Health Care: Medical Facilities,Denver,http://www.davita.com,12,http://fortune.com/fortune500/davita/
180,Supervalu,SVU,158,"$16,009",-8.7%,$650.0,265.2%,"$3,580",$585,"29,000",Mark Gross,"President, Chief Executive Officer & Director",Food & Drug Stores,Food and Drug Stores,"Eden Prairie, Minn.",http://www.supervalu.com,24,http://fortune.com/fortune500/supervalu/
181,Gap,GPS,178,"$15,855",2.2%,$848.0,25.4%,"$7,989","$12,147","135,000",Arthur L. Peck,"President, Chief Executive Officer & Director",Retailing,Specialty Retailers: Apparel,San Francisco,http://www.gapinc.com,24,http://fortune.com/fortune500/gap/
182,General Mills,GIS,165,"$15,620",-5.7%,"$1,657.5",-2.4%,"$21,813","$26,716","38,000",Jeffrey L. Harmening,Chairman & Chief Executive Officer,"Food, Beverages & Tobacco",Food Consumer Products,Minneapolis,http://www.generalmills.com,24,http://fortune.com/fortune500/general-mills/
183,Nordstrom,JWN,188,"$15,478",4.9%,$437.0,23.4%,"$8,115","$8,123","76,000",Blake W. Nordstrom,Co-President & Director,Retailing,General Merchandisers,Seattle,http://www.nordstrom.com,24,http://fortune.com/fortune500/nordstrom/
184,Colgate-Palmolive,CL,182,"$15,454",1.7%,"$2,024.0",-17.1%,"$12,676","$62,607","35,900",Ian M. Cook,"Chairman, President & Chief Executive Officer",Household Products,Household and Personal Products,New York City,http://www.colgatepalmolive.com,24,http://fortune.com/fortune500/colgate-palmolive/
185,American Electric Power,AEP,167,"$15,425",-5.8%,"$1,912.6",213.1%,"$64,729","$33,766","17,666",Nicholas K. Akins,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,"Columbus, Ohio",http://www.aep.com,24,http://fortune.com/fortune500/american-electric-power/
186,XPO Logistics,XPO,191,"$15,381",5.2%,$340.2,393.0%,"$12,602","$12,210","95,000",Bradley S. Jacobs,Chairman & Chief Executive Officer,Transportation,Transportation and Logistics,"Greenwich, Conn.",http://www.xpo.com,3,http://fortune.com/fortune500/xpo-logistics/
187,Goodyear Tire & Rubber,GT,184,"$15,377",1.4%,$346.0,-72.6%,"$17,064","$6,392","64,000",Richard J. Kramer,"Chairman, President & Chief Executive Officer",Motor Vehicles & Parts,Motor Vehicles and Parts,"Akron, Ohio",http://www.goodyear.com,24,http://fortune.com/fortune500/goodyear-tire-rubber/
188,Omnicom Group,OMC,179,"$15,274",-0.9%,"$1,088.4",-5.2%,"$24,931","$16,734","77,300",John D. Wren,"President, Chief Executive Officer & Director",Business Services,"Advertising, marketing",New York City,http://www.omnicomgroup.com,22,http://fortune.com/fortune500/omnicom-group/
189,CDW,CDW,199,"$15,192",8.7%,$523.0,23.2%,"$6,957","$10,717","8,726",Thomas E. Richards,"Chairman, President & Chief Executive Officer",Technology,Information Technology Services,"Lincolnshire, Ill.",http://www.cdw.com,14,http://fortune.com/fortune500/cdw/
190,Sherwin-Williams,SHW,236,"$14,984",26.4%,"$1,772.3",56.5%,"$19,958","$36,899","52,695",John G. Morikis,"Chairman, President & Chief Executive Officer",Chemicals,Chemicals,Cleveland,http://www.sherwin.com,24,http://fortune.com/fortune500/sherwin-williams/
191,PPG Industries,PPG,183,"$14,967",-1.4%,"$1,591.0",81.4%,"$16,538","$27,824","47,200",Michael H. McGarry,Chairman & Chief Executive Officer,Chemicals,Chemicals,Pittsburgh,http://www.ppg.com,24,http://fortune.com/fortune500/ppg-industries/
192,Texas Instruments,TXN,206,"$14,961",11.9%,"$3,682.0",2.4%,"$17,642","$102,135","29,714",Brian T. Crutcher,"Chairman, President & Chief Executive Officer",Technology,Semiconductors and Other Electronic Components,Dallas,http://www.ti.com,24,http://fortune.com/fortune500/texas-instruments/
193,C.H. Robinson Worldwide,CHRW,212,"$14,869",13.1%,$504.9,-1.7%,"$4,236","$13,153","15,074",John P. Wiehoff,"Chairman, President & Chief Executive Officer",Transportation,Transportation and Logistics,"Eden Prairie, Minn.",http://www.chrobinson.com,17,http://fortune.com/fortune500/c-h-robinson-worldwide/
194,WestRock,WRK,190,"$14,860",1.0%,$708.2,,"$25,089","$16,372","44,800",Steven C. Voorhees,"President, Chief Executive Officer & Director",Materials,"Packaging, Containers",Atlanta,http://www.westrock.com,7,http://fortune.com/fortune500/westrock/
195,Cognizant Technology Solutions,CTSH,205,"$14,810",9.8%,"$1,504.0",-3.2%,"$15,221","$47,338","260,000",Francisco D'Souza,Chairman & Chief Executive Officer,Technology,Information Technology Services,"Teaneck, N.J.",http://www.cognizant.com,8,http://fortune.com/fortune500/cognizant-technology-solutions/
196,Newell Brands,NWL,208,"$14,742",11.1%,"$2,748.8",420.8%,"$33,136","$12,363","49,000",Michael B. Polk,Chairman & Chief Executive Officer,Household Products,"Home Equipment, Furnishings","Hoboken, N.J.",http://www.newellbrands.com,23,http://fortune.com/fortune500/newell-brands/
197,CBS,CBS,193,"$14,710",2.3%,$357.0,-71.7%,"$20,843","$19,668","14,715",Leslie Moonves,"Chairman, President & Chief Executive Officer",Media,Entertainment,New York City,http://www.cbscorporation.com,24,http://fortune.com/fortune500/cbs/
198,Envision Healthcare,EVHC,538,"$14,701",220.4%,$-228.0,,"$16,573","$4,647","57,750",Christopher A. Holden,"President, Chief Executive Officer & Director",Health Care,Health Care: Pharmacy and Other Services,Nashville,http://www.evhc.net,1,http://fortune.com/fortune500/envision-healthcare/
199,Monsanto,MON,204,"$14,640",8.4%,"$2,260.0",69.2%,"$21,333","$51,444","21,900",Hugh Grant,Chairman & Chief Executive Officer,Chemicals,Chemicals,St. Louis,http://www.monsanto.com,15,http://fortune.com/fortune500/monsanto/
